"block_timestamp","reserve_0","reserve_1","candlestick_open_price","candlestick_close_price"
"1702339211000","8297145391073","5497678906693731575939071","1.517","1.52"
"1702339220000","8297177341329","5497657789524716775761501","1.517","1.52"
"1702339244000","8297293357114","5497581111536511409910494","1.517","1.52"
"1702339250000","8297309158212","5497570668327064155797175","1.517","1.52"
"1702339256000","8297101509220","5497708599327064155797175","1.517","1.52"
"1702339265000","8297185799789","5497652888160518441549748","1.517","1.52"
"1702339274000","8298555455532","5496747783590959667523780","1.517","1.52"
"1702339277000","8298582411717","5496729973231820832964547","1.517","1.52"
"1702339283000","8298614143431","5496709007756413566117045","1.517","1.52"
"1702339286000","8299816111093","5495914972883710423577043","1.517","1.52"
"1702339304000","8299826237981","5495921678636541926609540","1.52","1.52"
"1702339331000","8299851237981","5495938232964069551662018","1.52","1.52"
"1702339343000","8301008998736","5495173618890041231730187","1.52","1.52"
"1702339400000","8301054075038","5495203458889687688945557","1.52","1.52"
"1702339409000","8301082744604","5495184527499718624377560","1.52","1.52"
"1702339412000","8301167216940","5495128748594296493695778","1.52","1.52"
"1702339415000","8302370497073","5494334319710888533196928","1.52","1.52"
"1702339418000","8302446965467","5494283848171884032849597","1.52","1.52"
"1702339421000","8306047062204","5491908410995283731917316","1.52","1.52"
"1702339439000","8306631496966","5491522979840425914884118","1.52","1.52"
"1702339442000","8307431939990","5490995180463783883829744","1.52","1.52"
"1702339445000","8310765321024","5488798293566846754407391","1.52","1.52"
"1702339448000","8310958603713","5488670963345548105598521","1.52","1.52"
"1702339475000","8310970242435","5488663296210461946227983","1.52","1.52"
"1702339541000","8311004625235","5488640646290533638962250","1.52","1.516"
"1702339571000","8313154927254","5487224490519418229815169","1.52","1.516"
"1702339625000","8313135137768","5487237585656905204259287","1.519","1.519"
"1702339667000","8313166137609","5487258047671667970296410","1.519","1.519"
"1702339673000","8313065908821","5487324372216987788148380","1.517","1.522"
"1702339676000","8316323176201","5485180517420584151840527","1.521","1.522"
"1702339754000","8318540458308","5483722114943853446191480","1.521","1.522"
"1702339781000","8320759634474","5482263243943853446191480","1.52","1.519"
"1702339823000","8320726482890","5482285141244214277120670","1.52","1.519"
"1702339829000","8320665955547","5482325121244214277120670","1.52","1.519"
"1702339871000","8320664965547","5482325775171691947101498","1.521","1.521"
"1702339901000","8320636971956","5482344265921691947101498","1.522","1.525"
"1702339937000","8320773916580","5482254262308657816933385","1.524","1.525"
"1702340003000","8321063830976","5482063732689989043994843","1.524","1.525"
"1702340012000","8321071826976","5482058477965435978800269","1.524","1.525"
"1702340036000","8321073825976","5482057164285874873677410","1.524","1.525"
"1702340057000","8321085464698","5482049515698658081438639","1.521","1.519"
"1702340081000","8321130356912","5482020014204289491842901","1.521","1.519"
"1702340108000","8321138168969","5482014880443919463462691","1.521","1.519"
"1702340135000","8321145863183","5482019949437461550754301","1.521","1.519"
"1702340192000","8321529539115","5481767825304296525168724","1.521","1.519"
"1702340207000","8321517431265","5481775821304296525168724","1.521","1.519"
"1702340240000","8321866756515","5481546289486011253957038","1.521","1.521"
